"Newport"
"Monthly - Departments"
"Download generated on 12/10/2017"

"Division","","July 2016-17 Actual","August 2016-17 Actual","September 2016-17 Actual","October 2016-17 Actual","November 2016-17 Actual","December 2016-17 Actual","January 2016-17 Actual","February 2016-17 Actual","March 2016-17 Actual","April 2016-17 Actual","May 2016-17 Actual","June 2016-17 Actual (Unaudited)","2016-17 budget","2016-17 Actual vs Budget Variance","2016-17 Actual vs Budget % Variance"
"City Manager",""," 68,839"," 131,588"," 196,262"," 249,952"," 311,570"," 406,221"," 472,431"," 526,025"," 623,155"," 736,779"," 800,067"," 906,758"," 1,034,378"," -127,620","-12.34%"
"City Manager","City Manager"," 32,170"," 68,222"," 106,079"," 134,273"," 164,765"," 216,896"," 252,978"," 284,508"," 320,576"," 406,663"," 443,453"," 501,878"," 650,528"," -148,650","-22.85%"
"City Manager","Human Resources"," 28,172"," 53,741"," 80,034"," 105,010"," 131,352"," 173,351"," 200,589"," 222,107"," 247,995"," 274,987"," 300,941"," 345,966"," 340,550"," 5,416","1.59%"
"City Manager","Special Events"," 8,497"," 9,625"," 10,149"," 10,670"," 15,453"," 15,974"," 18,864"," 19,409"," 54,583"," 55,128"," 55,674"," 58,914"," 43,300"," 15,614","36.06%"
"Grants",""," 26,400"," 43,599"," 68,659"," 115,219"," 192,919"," 510,963"," 563,999"," 634,810"," 695,745"," 749,117"," 873,878"," 1,052,852"," 22,377"," 1,030,475","4604.96%"
"Grants","Grants"," 21,298"," 29,820"," 43,234"," 80,719"," 124,870"," 437,625"," 482,949"," 548,710"," 597,011"," 616,273"," 730,253"," 897,006"," 21,557"," 875,449","4061.13%"
"Grants","Npt Prev Coalition Ex"," 5,101"," 13,779"," 25,425"," 34,500"," 68,049"," 73,338"," 81,051"," 86,100"," 98,734"," 132,844"," 143,626"," 155,846"," 821"," 155,026","18889.20%"
"City Clerk/Land Evidence",""," 37,922"," 76,215"," 115,973"," 162,177"," 200,728"," 256,843"," 306,714"," 333,981"," 368,329"," 402,544"," 439,948"," 509,344"," 532,027"," -22,683","-4.26%"
"City Clerk/Land Evidence","City Clerk Admin"," 37,922"," 76,215"," 115,973"," 162,177"," 200,728"," 256,843"," 306,714"," 333,981"," 368,329"," 402,544"," 439,948"," 509,344"," 532,027"," -22,683","-4.26%"
"City Solicitor",""," 31,235"," 68,772"," 109,373"," 143,769"," 181,220"," 232,621"," 268,126"," 296,680"," 331,247"," 367,773"," 403,053"," 462,389"," 513,473"," -51,084","-9.95%"
"City Solicitor","City Solicitor"," 31,235"," 68,772"," 109,373"," 143,769"," 181,220"," 232,621"," 268,126"," 296,680"," 331,247"," 367,773"," 403,053"," 462,389"," 513,473"," -51,084","-9.95%"
"Civic Investment",""," 33,997"," 57,233"," 83,418"," 107,927"," 130,643"," 168,490"," 193,452"," 216,458"," 240,472"," 266,459"," 291,559"," 331,023"," 334,591"," -3,568","-1.07%"
"Civic Investment","Civic Investment"," 33,997"," 57,233"," 83,418"," 107,927"," 130,643"," 168,490"," 193,452"," 216,458"," 240,472"," 266,459"," 291,559"," 331,023"," 334,591"," -3,568","-1.07%"
"Trusts & Scholarships",""," 57,243"," 70,699"," 77,624"," 168,789"," 169,523"," 172,832"," 181,117"," 213,018"," 214,681"," 216,729"," 219,816"," 222,418"," 0"," 222,418",""
"Trusts & Scholarships","Trust Funds"," 48,400"," 48,717"," 48,717"," 119,114"," 119,750"," 120,125"," 124,098"," 154,810"," 156,250"," 158,021"," 159,988"," 161,458"," 0"," 161,458",""
"Trusts & Scholarships","Scholarships"," 8,843"," 21,982"," 28,907"," 49,674"," 49,773"," 52,706"," 57,019"," 58,208"," 58,432"," 58,707"," 59,828"," 60,960"," 0"," 60,960",""
"Canvassing",""," 12,590"," 27,458"," 57,029"," 73,709"," 119,246"," 148,312"," 162,566"," 174,639"," 188,656"," 203,186"," 217,327"," 241,013"," 259,414"," -18,401","-7.09%"
"Canvassing","Canvassing"," 12,590"," 27,458"," 57,029"," 73,709"," 119,246"," 148,312"," 162,566"," 174,639"," 188,656"," 203,186"," 217,327"," 241,013"," 259,414"," -18,401","-7.09%"
"Civic Support",""," 38,000"," 67,000"," 69,250"," 84,000"," 109,200"," 118,450"," 118,450"," 118,450"," 118,450"," 118,450"," 118,450"," 118,450"," 120,450"," -2,000","-1.66%"
"Civic Support","Civic Support"," 38,000"," 67,000"," 69,250"," 84,000"," 109,200"," 118,450"," 118,450"," 118,450"," 118,450"," 118,450"," 118,450"," 118,450"," 120,450"," -2,000","-1.66%"
"Mayor and Council",""," 15,580"," 19,821"," 24,316"," 36,927"," 58,664"," 62,655"," 75,312"," 78,372"," 82,554"," 95,447"," 99,585"," 104,022"," 111,984"," -7,962","-7.11%"
"Mayor and Council","Mayor and Council"," 15,580"," 19,821"," 24,316"," 36,927"," 58,664"," 62,655"," 75,312"," 78,372"," 82,554"," 95,447"," 99,585"," 104,022"," 111,984"," -7,962","-7.11%"
"John Clarke Trust",""," 2,000"," 4,000"," 6,000"," 8,000"," 9,000"," 10,000"," 10,000"," 10,000"," 10,000"," 10,000"," 10,000"," 10,000"," 0"," 10,000",""
"John Clarke Trust","John Clarke Trust"," 2,000"," 4,000"," 6,000"," 8,000"," 9,000"," 10,000"," 10,000"," 10,000"," 10,000"," 10,000"," 10,000"," 10,000"," 0"," 10,000",""
"Property Disposition",""," 652"," 806"," 1,597"," 2,241"," 2,869"," 2,869"," 2,869"," 2,869"," 2,869"," 2,869"," 3,134"," 4,208"," 0"," 4,208",""
"Property Disposition","Property Proceeds"," 652"," 806"," 1,597"," 2,241"," 2,869"," 2,869"," 2,869"," 2,869"," 2,869"," 2,869"," 3,134"," 4,208"," 0"," 4,208",""
"Description pending",""," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 787"," 0"," 787",""
"Description pending","Description pending"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 787"," 0"," 787",""

"Total",""," 26,935,595"," 37,495,137"," 47,912,057"," 64,292,884"," 72,106,732"," 81,433,871"," 99,182,310"," 106,974,324"," 115,509,800"," 122,986,370"," 135,605,367"," 148,189,868"," 159,755,447"," -11,565,579","-7.24%"
