"Newport"
"Budget Report - Types"
"Download generated on 12/10/2017"

"","","","2016-17 Adopted Budget","2016-17 Projected","2017-18 Proposed Budget","2017-18 Adopted Budget","2018-19 Proposed Budget"
"Expenses","Civic Support","Edward King Sr Center"," 20,000"," 0"," 20,000"," 0"," 20,000"
"Expenses","Civic Support","NPT Cty Comm Mental Health C"," 10,500"," 10,500"," 10,500"," 10,500"," 10,500"
"Expenses","Civic Support","Visiting Nurse"," 10,000"," 10,000"," 10,000"," 10,000"," 10,000"
"Expenses","Civic Support","Boys & Girls Club"," 7,750"," 7,750"," 7,750"," 7,750"," 7,750"
"Expenses","Civic Support","Martin Luther King"," 7,500"," 7,500"," 7,500"," 7,500"," 7,500"
"Expenses","Civic Support","Little League"," 6,000"," 6,000"," 6,000"," 6,000"," 6,000"
"Expenses","Civic Support","Housing Hotline"," 4,450"," 4,450"," 4,450"," 4,450"," 4,450"
"Expenses","Civic Support","Women's Resource"," 3,250"," 3,250"," 3,250"," 3,250"," 3,250"
"Expenses","Civic Support","Clean Ocean Access"," 2,000"," 2,000"," 2,000"," 2,000"," 2,000"
"Expenses","Civic Support","Newport Partnership for Fami"," 2,000"," 2,000"," 2,000"," 2,000"," 2,000"
"Expenses","Civic Support","Park Holm Sr Center"," 1,700"," 1,700"," 1,700"," 1,700"," 1,700"
"Expenses","Civic Support","World Heritage Committee"," 2,000"," 2,000"," 2,000"," 0"," 2,000"
"Expenses","Civic Support","Newport In Bloom"," 1,500"," 1,500"," 1,500"," 1,500"," 1,500"
"Expenses","Civic Support","Lucy's Hearth"," 1,500"," 1,500"," 1,500"," 1,500"," 1,500"
"Expenses","Civic Support","Newport Artillery Co."," 1,250"," 1,250"," 1,250"," 1,250"," 1,250"
"Expenses","Civic Support","Seaman's Church"," 1,050"," 1,050"," 1,050"," 1,050"," 1,050"
"Expenses","Civic Support","Pop Warner Football"," 1,000"," 1,000"," 1,000"," 1,000"," 1,000"
"Expenses","Civic Support","Friends of Ballard Park"," 1,000"," 1,000"," 1,000"," 1,000"," 1,000"
"Expenses","Civic Support","Lions Club"," 750"," 750"," 750"," 750"," 750"
"Expenses","Civic Support","Public Education Fund"," 500"," 500"," 500"," 500"," 500"
"Expenses","Civic Support","RI Arts Foundation"," 500"," 500"," 500"," 500"," 500"
"Expenses","Civic Support","American Red Cross"," 500"," 500"," 500"," 500"," 500"
"Expenses","Civic Support","The Samaritans"," 250"," 250"," 250"," 250"," 250"
"Expenses","Operating Expense",""," 60,830"," 77,830"," 84,330"," 69,330"," 84,330"
"Expenses","Operating Expense","Council Expense"," 25,070"," 25,070"," 25,070"," 25,070"," 25,070"
"Expenses","Operating Expense","Recruitment Expense"," 24,000"," 26,000"," 25,000"," 25,000"," 25,000"
"Expenses","Operating Expense","Beach Store Expenses"," 15,000"," 15,000"," 15,000"," 15,000"," 15,000"
"Expenses","Operating Expense","Rotunda Expense"," 5,000"," 5,000"," 7,500"," 7,500"," 7,500"
"Expenses","Operating Expense","Carousel Expenses"," 2,500"," 2,500"," 7,500"," 7,500"," 7,500"
"Expenses","Operating Expense","Bd Tenant Affairs"," 2,250"," 2,250"," 2,250"," 2,250"," 2,250"
"Expenses","Operating Expense","Official Expense"," 1,100"," 1,100"," 1,100"," 1,100"," 1,100"
"Expenses","Operating Expense","Navy Affairs Expense"," 910"," 910"," 910"," 910"," 910"
"Expenses","Operating Expense","Electronic Payment Rebate"," -15,000"," 0"," 0"," -15,000"," 0"
"Expenses","Program Expense",""," 38,000"," 38,000"," 50,000"," 50,000"," 50,000"
"Expenses","Program Expense","Recreation Programs"," 38,000"," 38,000"," 50,000"," 50,000"," 50,000"
"Expenses","Expenses",""," -300,000"," 0"," 0"," 20,000"," 0"
"Expenses","Expenses","Edward King Sr Center"," 0"," 0"," 0"," 20,000"," 0"
"Expenses","Expenses","Projected Savings from Fuel Budget"," -300,000"," 0"," 0"," 0"," 0"

"Revenues Less Expenses","",""," -0"," 41,749"," -0"," -0"," 0.39"
